Postcode,Sidewalk Dimensions (Area),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol
10001,40093.0,32703.0,158,130,141
10002,48627.0,37627.0,192,183,180
10003,127047.0,90546.0,356,300,313
10004,9252.0,9820.0,28,26,29
10005,7245.0,1709.0,17,6,7
10006,3917.0,1858.0,12,6,8
10007,11373.0,3638.0,32,13,21
10009,44887.0,33602.0,169,160,180
10010,43946.0,29017.0,115,89,97
10011,80484.0,45823.0,190,164,202
10012,59875.0,53506.0,228,236,231
10013,73268.0,58059.0,218,212,201
10014,92945.0,57863.0,250,215,276
10016,80992.0,36562.0,193,130,156
10017,35412.0,18791.0,94,60,59
10018,26757.0,22257.0,106,89,75
10019,68351.0,39241.0,236,171,209
10020,3242.0,0.0,3,0,2
10021,37600.0,16238.0,77,66,60
10022,39180.0,25175.0,139,102,128
10023,34025.0,20480.0,78,67,67
10024,44929.0,24511.0,120,89,104
10025,50397.0,17035.0,113,71,90
10026,16340.0,7148.0,37,29,41
10027,26929.0,8059.0,52,31,47
10028,32711.0,18622.0,103,86,94
10029,12764.0,6464.0,55,30,32
10030,7803.0,1624.0,16,12,13
10031,11999.0,5413.0,47,25,38
10032,30918.0,4519.0,37,16,24
10033,11940.0,9179.0,40,33,28
10034,30233.0,24451.0,49,37,38
10035,2445.0,1752.0,11,9,7
10036,57088.0,34440.0,157,149,160
10037,1287.0,160.0,4,1,2
10038,29383.0,9570.0,56,41,42
10039,1072.0,644.0,6,4,5
10040,17625.0,10097.0,39,27,27
10044,630.0,0.0,2,0,1
10065,27104.0,12345.0,77,53,65
10069,885.0,408.0,1,1,1
10075,17294.0,9858.0,59,45,55
10104,123.0,0.0,1,0,0
10105,0.0,800.0,0,1,1
10106,300.0,0.0,1,0,1
10128,23765.0,13277.0,79,65,67
10151,544.0,0.0,1,0,1
10158,631.0,0.0,3,0,1
10168,264.0,264.0,1,1,1
10169,4050.0,992.0,1,2,1
10271,636.0,0.0,1,0,1
10279,284.0,0.0,2,0,0
10280,1065.0,1992.0,4,4,1
10281,540.0,0.0,1,0,1
10282,1778.0,128.0,3,1,2
10301,5671.0,2536.0,15,9,12
10302,1434.0,812.0,4,4,5
10303,2360.0,0.0,4,0,3
10304,2595.0,1544.0,8,5,7
10305,2021.0,848.0,7,4,8
10306,14637.0,3763.0,21,7,17
10307,1350.0,776.0,6,4,5
10308,4100.0,0.0,6,0,6
10309,7542.0,4600.0,9,5,5
10310,2646.0,1760.0,6,6,6
10312,4165.0,1508.0,7,5,7
10314,6389.0,3050.0,16,4,11
10451,4829.0,3161.0,15,12,6
10452,6947.0,2024.0,20,13,17
10453,3061.0,1314.0,13,5,7
10454,7466.0,2490.0,27,11,20
10455,8476.0,4344.0,21,15,14
10456,2148.0,528.0,6,3,3
10457,4436.0,1328.0,13,5,11
10458,94465.0,26773.0,88,56,61
10459,4474.0,1272.0,11,6,4
10460,3202.0,760.0,8,4,6
10461,17159.0,4792.0,44,22,29
10462,8376.0,5532.0,30,26,22
10463,9867.0,4074.0,30,23,25
10464,4500.0,288.0,6,1,5
10465,7305.0,1174.0,14,6,10
10466,4898.0,1409.0,9,5,4
10467,12316.0,5304.0,23,11,8
10468,10480.0,3872.0,26,16,14
10469,5299.0,1208.0,12,4,8
10470,5810.0,2560.0,12,8,10
10471,4869.0,2808.0,17,11,10
10472,6769.0,3858.0,20,14,13
10473,1205.0,240.0,3,1,2
10474,2000.0,400.0,2,1,2
10475,740.0,560.0,2,1,3
11001,171.0,0.0,1,0,1
11004,1240.0,640.0,3,3,1
11040,2589.0,0.0,5,0,4
11101,60084.0,23285.0,114,71,87
11102,14132.0,8062.0,29,24,20
11103,45409.0,27914.0,124,107,78
11104,18368.0,7661.0,52,35,34
11105,21058.0,16966.0,60,57,58
11106,35369.0,22256.0,79,71,66
11109,1150.0,2078.0,5,6,6
11200,0.0,0.0,0,0,1
11201,34490.0,21921.0,155,110,102
11202,45.0,0.0,1,0,1
11203,9746.0,2770.0,20,10,11
11204,8160.0,448.0,18,3,6
11205,11927.0,7571.0,41,32,32
11206,20242.0,14157.0,61,49,56
11207,8966.0,4620.0,31,20,17
11208,5953.0,3879.0,18,12,11
11209,31309.0,17734.0,106,77,67
11210,7910.0,1580.0,17,6,5
11211,67513.0,43641.0,201,173,185
11212,528.0,688.0,6,6,4
11213,4751.0,1848.0,14,9,8
11214,17248.0,5376.0,35,18,12
11215,56872.0,37636.0,162,140,153
11216,17762.0,9708.0,67,50,39
11217,34236.0,19110.0,106,89,107
11218,16750.0,5500.0,41,19,22
11219,11137.0,4600.0,23,12,15
11220,32221.0,13729.0,69,56,36
11221,12498.0,8259.0,48,28,41
11222,35013.0,26247.0,104,103,100
11223,16673.0,6205.0,46,25,24
11224,3033.0,352.0,7,2,4
11225,8963.0,4774.0,32,20,28
11226,9653.0,3624.0,38,25,19
11228,5111.0,496.0,18,3,12
11229,7743.0,4440.0,24,15,15
11230,14135.0,5930.0,27,21,8
11231,22615.0,14048.0,71,64,65
11232,8004.0,3739.0,27,14,20
11233,8216.0,2832.0,19,12,14
11234,10977.0,3024.0,17,5,12
11235,36127.0,13884.0,57,40,37
11236,3492.0,1584.0,12,9,7
11237,30664.0,22742.0,116,109,93
11238,42501.0,19117.0,133,87,118
11241,300.0,0.0,1,0,0
11249,37383.0,36666.0,100,118,90
11271,90.0,0.0,1,0,1
11273,300.0,0.0,1,0,0
11352,182.0,232.0,1,1,1
11354,21791.0,13221.0,80,54,46
11355,14953.0,4562.0,36,23,25
11356,7276.0,4638.0,14,13,10
11357,4438.0,4018.0,17,10,11
11358,13877.0,5531.0,43,26,32
11360,3650.0,240.0,4,1,2
11361,21923.0,8624.0,71,44,66
11362,4670.0,2672.0,16,10,8
11363,688.0,437.0,3,2,2
11364,4789.0,240.0,10,1,6
11365,4070.0,1350.0,9,3,4
11366,7486.0,2360.0,13,6,7
11367,3475.0,386.0,7,4,1
11368,16558.0,11017.0,62,49,39
11369,2198.0,1836.0,14,12,6
11370,992.0,1480.0,2,4,4
11372,58792.0,30085.0,179,138,122
11373,68593.0,12945.0,70,47,40
11374,13821.0,4176.0,28,16,19
11375,23899.0,21012.0,66,60,58
11377,33483.0,14792.0,96,63,64
11378,10999.0,6326.0,20,14,13
11379,4344.0,2489.0,13,11,11
11385,33746.0,16510.0,95,69,76
11411,4221.0,160.0,4,1,4
11412,1090.0,0.0,2,0,2
11413,1606.0,368.0,6,2,1
11414,13247.0,2264.0,13,3,11
11415,2733.0,1056.0,7,4,5
11416,1520.0,1708.0,8,9,2
11417,10731.0,1748.0,23,9,14
11418,4799.0,1640.0,13,10,10
11419,6222.0,3361.0,26,17,20
11420,4856.0,1606.0,11,6,9
11421,9519.0,7088.0,19,12,13
11422,3559.0,984.0,6,2,4
11423,180.0,0.0,2,0,1
11426,1140.0,320.0,4,2,1
11427,792.0,0.0,1,0,1
11428,1561.0,576.0,4,1,3
11432,5153.0,2036.0,23,13,10
11433,65.0,0.0,1,0,0
11434,1148.0,1680.0,5,4,1
11435,5686.0,2846.0,15,9,9
11691,390.0,0.0,1,0,0
11692,0.0,208.0,0,1,0
11693,628.0,1612.0,5,6,5
11694,1546.0,1850.0,7,10,8
11697,1120.0,0.0,2,0,2
